Ownership_Type,Business_Major_Class,Business_Minor_Class,Description
S,0,0, FIXED PLACE OF BUSINESS BP99
P,0,0, FIXED PLACE OF BUSINESS BP99
C,0,0, FIXED PLACE OF BUSINESS BP99
S,1,2634, AGENT/BROKER - DURABLE BP50
S,1,2675, AGENT/BROKER - NONDURABLE BP51
S,1,5512, REAL ESTATE AGENTS AND MANAGERS BP9001
S,1,5520, REAL ESTATE AGENTS OR BROKERS BP653
S,1,5702, INSURANCE BROKERS BP64
S,1,5736, INSURANCE SERVICES (BROKERS) BP9001
S,1,5751," SECURITY AND COMMODITY BROKERS,DEALERS & INV SVCS BP60"
S,1,6064, SECURITY BROKERS BP62
S,1,6080, COMMODITY CONTRACT BROKERS & DEALERS & SEC EXCHGS BP622
S,1,6635, TRAVEL AGENTS AND TOUR OPERATORS BP70
S,1,7716," ADVERTISING, EXCEPT DIRECT MAIL BP73"
S,1,8888, UNABLE TO CLASSIFY BP99
P,1,5002, AGENT/BROKER FOR OTHER FIRMS WITH 1/2 OF SALE BP50
P,1,5102, AGENT/BROKER FOR OTHER FIRMS WITH 1/2 OF SALE BP51
P,1,6212, SECURITY UNDERWRITING SYNDICATES BP6289
P,1,6218, SECURITY BROKERS AND DEALERS BP621
P,1,6299, COMMODITY CONTRACTS BROKERS AND DEALERS BP622
P,1,6411, INSURANCE AGENTS/BROKERS & SERVICES BP64
P,1,6531, REAL ESTATE AGENTS/BROKERS AND MANAGERS BP653P 01 6635 TRAVEL AGENTS AND TOUR OPERATORS BP70
P,1,7310, ADVERTISING BP731
P,1,8888, UNABLE TO CLASSIFY BP99
C,1,5002, AGENT/BROKER - DURABLE BP50
C,1,5102, AGENT/BROKER - NONDURABLE BP51
C,1,6210," SECURITY BROKERS,DEALERS,FLOTATION COMPANIES BP62"
C,1,6299, COMMODITY CONTRACTS BROKERS AND DEALERS BP62
C,1,6411, INSURANCE BROKERS AND SERVICES BP64
C,1,6531, REAL ESTATE AGENTS/BROKERS AND MANAGERS BP65
C,1,6635, TRAVEL AGENTS AND TOUR OPERATORS BP70
C,1,7310, ADVERTISING BP731
C,1,8888, UNABLE TO CLASSIFY BP99
S,2,18, OPERATIVE BUILDERS BP153
S,2,34, RESIDENTIAL BUILDING BP152
S,2,59, NON-RESIDENTIAL BUILDING BP154
S,2,75, HIGHWAY AND STREET CONSTRUCTION BP161
S,2,232," PLUMBING, HEATING, AIR CONDITIONING BP171"
S,2,257, PAINTING AND PAPER HANGING BP172
S,2,273, ELECTRICAL WORK BP173
S,2,299," MASONRY, DRY WALL, STONE, TILE BP174"
S,2,414, CARPENTERING AND FLOORING BP175
S,2,430," ROOFING, SIDING, AND SHEET METAL RF176"
S,2,455, CONCRETE WORK BP177
S,2,471, WATER WELL DRILLING BP178
S,2,885," BLDG TRADE CONTRACTOR(EXCAVATION,GLAZING,ETC BP179"
S,2,3889," HEAVY CONSTR(PIPE LAYING,BRIDGE CONSTR,ETC) BP162"
S,2,8888, UNABLE TO CLASSIFY BP99
P,2,1510, GENERAL BUILDING CONTRACTORS BP15
P,2,1531, OPERATIVE BUILDERS BP153
P,2,1611, HIGHWAY AND STREET CONTRUCTION BP161
P,2,1620," HEAVY CONTRUCTION, EXCEPT HIGHWAY BP162"
P,2,1711," PLUMBING,HEATING,AND AIR CONDITIONING BP171"
P,2,1721," PAINTING,PAPERHANGING AND DECORATING BP172"
P,2,1731, ELECTRICAL WORK BP173
P,2,1740," MASONRY, DRYWALL, STONE, TILE BP174"
P,2,1750, CARPENTERING AND FLOORING BP175
P,2,1761," ROOFING,SIDING,AND SHEET METAL RF176"
P,2,1771, CONCRETE WORK BP177
P,2,1781, WATER WELL DRILLING BP178
P,2,1790," BLDG TRADE CONTR(EXCAVATION,GLAZING,ETC) BP179"
P,2,8888, UNABLE TO CLASSIFY BP99
C,2,1510, GENERAL BUILDING CONTRACTORS BP15
C,2,1531, OPERATIVE BUILDERS BP15
C,2,1600, HEAVY CONSTRUCTION CONTRACTORS BP16
C,2,1711," PLUMBING,HEATING,AND AIR CONDITIONING BP17"
C,2,1731," ELECTRICAL WORK BP17C 02 1761 ROOFING, SIDING AND SHEET METAL RF176"
C,2,1798, SPECIAL TRADE CONTRACTORS BP17
C,2,7600, MISC. REPAIR SERVICES RF9001
C,2,8888, UNABLE TO CLASSIFY BP99
S,3,2675, AGENT OR BROKER FOR OTHER FIRMS (OVER 50% COMM) BP9001
S,3,5512, REAL ESTATE BP9001
S,3,5538, (APARTMENTS) OPERATORS & LESSORS OF BUILDINGS BP651
S,3,5553, OPERATORS AND LESSORS OF BLDGS BP9001
S,3,6512, APPT/RE/LESSOR-SOLE PROPRIETORSHIP BP651
S,3,7096," HOTELS,MOTELS,AND TOURIST HOMES HT701"
S,3,7211, ROOMING AND BOARDING HOUSES HT702
S,3,8888, UNABLE TO CLASSIFY BP99
P,3,6511, (APARTMENTS) REAL ESTATE OPERATORS & LESSORS BP651
P,3,6512, APPT/RE/LESSOR-PARTNERSHIP BP651
P,3,6520, LESSOR OF REAL PROPERTY OTHER THAN BUILDINGS BP9001
P,3,7012, HOTELS HT70
P,3,7013," MOTELS,MOTOR HOTELS, AND TOURIST COURTS HT701"
P,3,7021, ROOMING AND BOARDING HOUSES BP702
P,3,8888, UNABLE TO CLASSIFY BP99
C,3,6511, REAL ESTATE OPR/LESSOR OF BLDG EXCEPT DEVELOPER BP651
C,3,6512, APPT/RE/LESSOR-CORPORATION BP651
C,3,6599, REAL ESTATE - APARTMENTS BP9001
C,3,7000, HOTELS AND OTHER LODGING PLACES HT70
C,3,8888, UNABLE TO CLASSIFY BP99
S,4,7419, COIN-OPERATED LAUNDRIES AND DRY CLEANING BP7215
S,4,7435," LAUNDRY,DRY CLEANING,AND GARMENT SERVICES BP7219"
S,4,8888, UNABLE TO CLASSIFY BP99
P,4,7215, COIN-OPERATED LAUNDRIES AND DRY CLEANING BP721
P,4,7219," LAUNDRY,CLEANING, AND GARMENT SERVICES BP721"
P,4,8888, UNABLE TO CLASSIFY BP99
C,4,7215, COIN OPERATED LAUNDRIES AND DRY CLEANING BP7215
C,4,7219," LAUNDRY (OTHER), CLEANING & GARMENT SERVICES BP7219"
C,4,8888, UNABLE TO CLASSIFY BP99
C,4,8980, MISCELLANEOUS SERVICES(INCLUDING VETERINARIANS) BP9001
S,5,6148, CREDIT INSTITUTIONS & MORTGAGE BANKERS BP61
S,5,8888, UNABLE TO CLASSIFY BP99
P,5,6100, CREDIT AGENCIES OTHER THAN BANKS BP606
P,5,8888, UNABLE TO CLASSIFY BP99
C,5,6140, PERSONAL CREDIT INSTITUTIONS BP614
C,5,6150, BUSINESS CREDIT INSTITUTIONS BP615
C,5,6199, CREDIT AGENCIES BP60
C,5,8888, UNABLE TO CLASSIFY BP99
S,6,7773," EQUIPMENT RENTAL,LEASING(EXCEPT COMPUTER OR AUTO) BP735"
S,6,7922," COMPUTER LEASING, REPAIR & MAINTENANCE BP7378"
S,6,8813," AUTOMOTIVE RENTAL OR LEASING,WITHOUT DRIVER BP751"
S,6,8888, UNABLE TO CLASSIFY BP99P 06 7350 EQUIPMENT RENTAL AND LEASING BP735
P,6,7510," AUTOMOTIVE RENTAL AND LEASING,WITHOUT DRIVERS BP751"
P,6,7922," COMPUTER LEASING, REPAIR AND MAINTENANCE BP737"
P,6,8888, UNABLE TO CLASSIFY BP99
C,6,7350, EQUIPMENT RENTAL AND LEASING BP735
C,6,7510," AUTOMOTIVE RENTAL, OR LEASING WITHOUT DRIVER BP751"
C,6,7922," COMPUTER LEASING, REPAIR AND MAINTENANCE BP7378"
C,6,8888, UNABLE TO CLASSIFY BP99
S,7,836, LOGGING BP24
S,7,1511, METAL MINING BP10
S,7,1537, COAL MINING BP12
S,7,1552, OIL AND GAS BP13
S,7,1719, QUARRYING AND NONMETALLIC MINING BP14
S,7,1958, VETERINARY SERVICES INCLUDING FEES BP074
S,7,1974, LIVESTOCK BREEDING BP02
S,7,1990, ANIMAL SERVICES BP075
S,7,1993, CROP SERVICES BP072
S,7,2113, FARM LABOR & MANAGEMENT BP076
S,7,2212, HORTICULTURE & LANDSCAPING BP078
S,7,2238, FORESTRY EXCEPT LOGGING BP08
S,7,2246, FISHING COMMERCIAL BP091
S,7,2469, HUNTING & TRAPPING BP097
S,7,2881, EQUIPMENT REPAIR BP769
S,7,3086, CATERING SERVICES BP7299
S,7,5512, REAL ESTATE AGENTS AND MANAGERS BP653
S,7,5553," REAL ESTATE, OTHERS (COMMERCIAL BUILDING) BP651"
S,7,5579, REAL ESTATE PROPERTY MANAGERS BP653
S,7,5710, SUBDIVIDERS AND DEVELOPERS BP655
S,7,5744," INSURANCE SVCS (APPRAISAL,CONSULTING,INSPECTION) BP641"
S,7,5777," REAL ESTATE,INSURANCE,FINANCIAL ACTIVITIES BP67"
S,7,6130, INVESTMENT ADVISERS & SERVICES BP6282
S,7,6155, TITLE ABSTRACT OFFICER BP654
S,7,6361, HIGHWAY PASSENGER TRANSPORTATION BP413
S,7,6395, COURIER OR PACKAGE DELIVERY BP421
S,7,6510, TRASH COLLECTION W/O OWN DUMP BP4953
S,7,6530," CONDOMINIUM MGMT, COOPERATIVE HOUSING ASSOC BP65"
S,7,6551, WATER TRANSPORTATION BP44
S,7,6619, AIR TRANSPORTATION BP45
S,7,6882, PERSONAL SERVICES BP729
S,7,7237, CAMPS & CAMPING PARKS BP703
S,7,7245, MANAGEMENT SERVICES BP8742
S,7,7260, PUBLIC RELATIONS BP8743
S,7,7286, CONSULTING SERVICES BP8748
S,7,7450, CARPET AND UPHOLSTERY CLEANING BP7217
S,7,7476, JANITORIAL AND RELATED SERVICES BP734
S,7,7617, LEGAL SERVICES(OR LAWYER) BP81S 07 7633 INCOME TAX PREPARATION BP7291
S,7,7658," ACCOUNTING, AUDITING, AND BOOKKEEPING BP872"
S,7,7690," MANAGEMENT,CONSULTING,AND PUBLIC RELATIONS BP874"
S,7,7708, SURVEYING SERVICES BP8713
S,7,7716," ADVERTISING,EXCEPT DIRECT MAIL BP731"
S,7,7732, EMPLOYMENT AGENCIES AND PERSONNEL SUPPLY BP736
S,7,7757," COMPUTER,DATA PROCESSING,REPAIR AND LEASING BP737"
S,7,7856," MAIL, REPROD, COMM. ART, PHOTO & STENOS SE BP733"
S,7,7872, COMPUTER AND DATA PROCESSING SERVICES BP737
S,7,7880, BUSINESS SERVICES BP738
S,7,7914, INVESTIGATIVE AND PROTECTIVE SERVICES BP7381
S,7,8110, BEAUTY SHOPS(OR BEAUTICIAN) BP723
S,7,8318, BARBER SHOPS(OR BARBER) BP724
S,7,8334, PHOTOGRAPHIC PORTRAIT STUDIOS BP722
S,7,8516, SHOE REPAIR AND SHINE SERVICES BP725
S,7,8532, FUNERAL SERVICES AND CREMATORIES BP726
S,7,8557, PHYSICAL FITNESS FACILITIES BP7991
S,7,8714, CHILD DAY CARE BP835
S,7,8730, TEACHING OR TURTORING BP829
S,7,8755, COUNSELING(EXCEPT HEALTH PRACTITIONERS) BP832
S,7,8771, MINISTERS AND CHAPLAINS BP832
S,7,8839," PARKING,EXCEPT VALET PK752"
S,7,8854, GENERAL AUTOMOTIVE REPAIRS BP7538
S,7,8870, SPECIALIZED AUTOMOTIVE REPAIRS BP753
S,7,8888, UNABLE TO CLASSIFY BP99
S,7,8896," AUTOMOTIVE SERVICES(WASH,TOWING,ETC) BP754"
S,7,8953, AUTO REPAIR AND SERVICES BP753
S,7,9019, TV AND AUDIO EQUIPMENT REPAIR BP7622
S,7,9035, ELECTRICAL EQUIPMENT REPAIR BP762
S,7,9050, FURNITURE REPAIR & UPHOLSTERY BP764
S,7,9060, REUPHOLSTERY AND FURNITURE REPAIR BP764
S,7,9217, OFFICES AND CLINICS OF MEDICAL DOCTORS(MD'S) BP801
S,7,9233, OFFICES AND CLINICS OF DENTISTS BP802
S,7,9258, OSTEOPATHIC PHYSICIANS AND SURGEONS BP803
S,7,9274, CHIROPRACTORS BP8041
S,7,9290, OPTOMETRISTS BP8042
S,7,9415, REGISTERED AND PRACTICAL NURSES BP805
S,7,9431, OFFICES & CLINICS - OTH PRACTITONERS BP8049
S,7,9456, DENTAL LABORATORIES BP8072
S,7,9472, NURSING AND PERSONAL CARE FACILITIES BP805
S,7,9597, MOTION PICTURE & VIDEO PRODUCTION BP781
S,7,9613, VIDEOTAPE RENTAL STORES BP784
S,7,9639, MOTION PICTURE THEATERS BP783
S,7,9654," MOTION PICTURE,TV FIRM,TAPE ACTIVITIES BP78"
S,7,9670, BOWLING ALLEYS BP793
S,7,9688," MEDICAL LABORATORIES BP8071S 07 9696 PROFESSIONAL SPORTS,RACING, PROMOTERS/MANAGERS SD7941"
S,7,9811," THEATRICAL PERFORMERS,MUSICIANS,AGENTS,PRODUCERS BP7922"
S,7,9837, AMUSEMENT SERVICES BP79
S,7,9886, HEALTH SERVICES BP809
P,7,120, FIELD CROP BP013
P,7,160, VEGETABLE & MELON FARMS BP016
P,7,170, FRUIT AND NUT TREE FARMS BP017
P,7,180, HORTICULTURE SPECIALTY BP018
P,7,211, BEEF CATTLE FEEDLOTS BP0211
P,7,212, BEEF CATTLE EXCEPT FEEDLOTS BP0212
P,7,215," HOGS, SHEEP AND GOATS BP021"
P,7,240, DAIRY FARMS BP024
P,7,250, POULTRY & EGGS BP025
P,7,260, GENERAL LIVESTOCK EXCEPT ANIMAL SPECIALTY BP029
P,7,270, ANIMAL SPECIALTY BP027
P,7,740, VETERINARY SERVICES INCLUDING FEES BP074
P,7,753, LIVESTOCK BREEDING BP02
P,7,754, ANIMAL SERVICES BP075
P,7,780, HORTICULTURE & LANDSCAPING BP078
P,7,790, OTHER AGRICULTURAL SERVICES BP07
P,7,800, FORESTRY EXCEPT LOGGING BP08
P,7,930," COMMERCIAL FISHING, HATCHERIES, AND PRESERVES BP09"
P,7,970," HUNTING,TRAPPING, AND GAME PROPAGATION BP097"
P,7,1000, METAL MINING BP10
P,7,1200, COAL MINING BP12
P,7,1300, OIL AND GAS BP13
P,7,1400, NONMETALLIC MINERAL EXCEPT FUEL BP14
P,7,2400, LOGGING BP241
P,7,6100, BUSINESS CREDIT INSTITUTIONS BP606
P,7,6411," INSURANCE AGENTS,BROKERS,AND SERVICES BP64"
P,7,6530," CONDOMINIUM MGMT, COOPERATIVE HOUSING ASSOC BP65"
P,7,6531, REAL ESTATE PROPERTY MANAGERS BP653
P,7,6541, TILE ABSTRACT OFFICES BP654
P,7,6552, SUBDIVIDERS AND DEVELOPERS BP655
P,7,6553, CEMETERY SUBDIVIDERS AND DEVELOPERS BP6553
P,7,6599," REAL ESTATE, OTHERS (COMMERCIAL BUILDING) BP65"
P,7,6746, INVESTMENT CLUBS BP672
P,7,6747, COMMON TRUST FUNDS BP673
P,7,6748, HOLDING AND INVESTMENT COMPANIES BP67
P,7,7032, SPORTING AND RECREATIONAL CAMPS BP7032
P,7,7033, TRAILER PARKS AND CAMP SITES BP7033
P,7,7221, PHOTOGRAPHIC STUDIOS AND PORTRAIT STUDIOS BP722
P,7,7231, BEAUTY SHOPS BP723
P,7,7241, BARBER SHOPS BP724
P,7,7251, SHOE REPAIR AND HAT CLEANING SHOPS BP725
P,7,7261, FUNERAL SERVICES AND CREMATORIES BP726P 07 7291 INCOME TAX PREPARATION BP729
P,7,7299, MISCELLANEOUS PERSONAL SERVICES BP7299
P,7,7310, ADVERTISING BP731
P,7,7340, JANITORIAL AND RELATED SERVICES BP734
P,7,7370, COMPUTER AND DATA PROCESSING SERVICES BP737
P,7,7398, BUSINESS SERVICES BP73
P,7,7450, CARPET AND UPHOLSTERY CLEANING BP7217
P,7,7520," PARKING, AUTOMOBILE PK752"
P,7,7538, AUTO REPAIR AND SERVICES BP7538
P,7,7539, AUTOMOTIVE REPAIR SHOPS BP753
P,7,7540," AUTOMOTIVE SERVICES, EXCEPT REPAIR BP754"
P,7,7622, RADIO AND TV REPAIR SHOPS BP7622
P,7,7628," ELECTRICAL REPAIR SHOPS,EXCEPT RADIO AND TV BP762"
P,7,7641, REUPHOLSTERY AND FURNITURE REPAIR BP764
P,7,7680, MISCELLANEOUS REPAIR SHOPS BP76
P,7,7732, EMPLOYMENT AGENCIES AND PERSONNEL SUPPLY BP736
P,7,7812," OTHER MOTION PICTURE, TV FILM AND TAPE ACT BP78"
P,7,7830, MOTION PICTURE THEATERS BP783
P,7,7840, VIDEO TAPE RENTAL STORE BP784
P,7,7914, INVESTIGATIVE AND PROTECTIVE SERVICES BP738
P,7,7920," PRODUCERS,ORCHESTRAS AND ENTERTAINERS BP792"
P,7,7933, BOWLING ALLEYS BP793
P,7,7941, PROFESSIONAL SPORTS CLUB AND PROMOTERS SD7941
P,7,7948," RACING,INCLUDING TRACK OPERATION BP7948"
P,7,7980, AMUSEMENT AND RECREATION SERVICES BP79
P,7,7991, PHYSICAL FITNESS FACILITIES BP7991
P,7,8011, OFFICES AND CLINICS OF MEDICAL DOCTORS(MD'S) BP801
P,7,8021, OFFICES AND CLINICS OF DENTISTS BP802
P,7,8031, OFFICES OF OSTEOPATHIC PHYSICIANS BP803
P,7,8041, CHIROPRACTORS BP804
P,7,8042, OFFICES OF OPTOMETRISTS BP8042
P,7,8047, LICENSED HEALTH PRACTITIONERS BP804
P,7,8048, REGISTERED AND PRACTICAL NURSES BP805
P,7,8050, NURSING AND PERSONAL CARE FACILITIES BP805
P,7,8060, HOSPITALS BP806
P,7,8071, MEDICAL LABORATORIES BP8071
P,7,8072, DENTAL LABORATORIES BP8072
P,7,8098, MEDICAL AND HEALTH SERVICES BP80
P,7,8111, LEGAL SERVICES BP81
P,7,8200, EDUCATIONAL SERVICES BP82
P,7,8351, CHILD DAY CARE BP835
P,7,8722, CERTIFIED PUBLIC ACCOUNTANTS BP872
P,7,8723," ACCOUNTING, AUDITING, AND BOOKKEEPING SERVICES BP872"
P,7,8740," MANAGEMENT, CONSULTING, AND PUBLIC RELATIONS SVCS BP73"
P,7,8888, UNABLE TO CLASSIFY BP99
P,7,8999, OTHER SERVICES NOT CLASSIFIED ELSEWHERE BP89C 07 0400 AGRICULTURAL PRODUCTION BP99
C,7,600," AGRICULTURAL SVCS(EXC VETERINARIANS),FORESTRY BP07"
C,7,1010, IRON ORES BP101
C,7,1070," COPPER,LEAD,ZINC,GOLD AND SILVER ORES BP10"
C,7,1098, METAL MINING BP10
C,7,1150, COAL MINING BP12
C,7,1330," CRUDE PETROLEUM,NATURAL GAS,NATURAL GAS LIQUIDS BP13"
C,7,1380, OIL AND GAS FIELD SERVICES BP138
C,7,1430," DIMENSION,CRUSHED/BROKEN STONES,SAND AND GRAVEL BP14"
C,7,1498," NONMETALLIC MINERALS,EXCEPT FUELS BP14"
C,7,2710, NEWSPAPERS BP2711
C,7,2720, PERIODICALS BP2721
C,7,2735," BOOKS, GREETING CARDS, AND MISC. PUBLISHING BP27"
C,7,2799, COMMERCIAL AND OTHER PRINTING BP275
C,7,4400, WATER TRANSPORTATION BP44
C,7,4500, TRANSPORTATION BY AIR BP45
C,7,4600," PIPE LINES,EXCEPT NATURAL GAS BP46"
C,7,4700, MISCELLANEOUS TRANSPORTATION SERVICES BP47
C,7,4830, RADIO AND TELEVISION BROADCASTING BP483
C,7,6030, MUTUAL SAVINGS BANK BP60
C,7,6060, BANK HOLDING COMPANIES BP6712
C,7,6120, SAVINGS AND LOAN ASSOCIATIONS BP603
C,7,6140, PERSONAL CREDIT INSTITUTIONS BP614
C,7,6150, BUSINESS CREDIT INSTITUTIONS BP615
C,7,6199, OHTER CREDIT AGENCIES BP60
C,7,6411," INSURANCE SVCS (APPRAISAL,CONSULTING,INSPECTION) BP64"
C,7,6511, REAL ESTATE OPERATORS AND LESSORS OF BUILDINGS BP9001
C,7,6516," LESSOR OF MINING,OIL, AND SIMILAR PROPERTY BP6519"
C,7,6518," LESSOR OF RAILROAD PROPERTY,OTHER REAL PROPERTY BP6517"
C,7,6530," CONDOMINIUM MGNT,COOPERATIVE HOUSING ASSOCS. BP653"
C,7,6531, REAL ESTATE PROPERTY MANAGERS BP65
C,7,6550, SUBDIVIDERS AND DEVELOPERS BP655
C,7,6553, CEMETERY SUBDIVIDERS AND DEVELOPERS BP6553
C,7,6599," REAL ESTATE, OTHERS (COMMERCIAL BUILDING) BP654"
C,7,6744, SMALL BUSINESS INVESTMENT COMPANIES BP672
C,7,6749, HOLDING INV. CO. EXCEPT BANK HOLDING CO. BP67
C,7,7200, PERSONAL SERVICES BP72
C,7,7231, BEAUTY SHOPS OR BEAUTICIANS BP723
C,7,7241, BARBER SHOPS OR BARBERS BP724
C,7,7261, FUNERAL SERVICES AND CREMATORIES BP726
C,7,7310, ADVERTISING BP731
C,7,7340, JANITORIAL AND RELATED SERVICES BP734
C,7,7370, COMPUTER AND DATA PROCESSING SERVICES BP737
C,7,7389," BUSINESS SERVICES, EXCEPT ADVERTISING BP73"
