Ownership_Type,Business_Major_Class,Business_Minor_Class,Description
C,7,7450, CARPET AND UPHOLSTERY CLEANING BP7217
C,7,7500," AUTO REPAIR AND SERVICES BP75C 07 7520 PARKING, AUTOMOBILE PK752"
C,7,7600, MISC. REPAIR SERVICES BP76
C,7,7732, EMPLOYMENT AGENCIES AND PERSONNEL SUPPLY BP736
C,7,7812," MOTION PICTURE PRODUCTION,DISTRIBUTION,SERVICES BP781"
C,7,7830, MOTION PICTURE THEATERS BP783
C,7,7900," AMUSEMENT,RECREATION SVCS.,EXC. MOTION PICTURES SD79"
C,7,7914, INVESTIGATIVE AND PROTECTIVE SERVICES BP738
C,7,7933, BOWLING ALLEYS BP7933
C,7,8015," OFFICES OF PHYSICIANS,OSTEOPATHIC PHYSICIANS BP80"
C,7,8021, OFFICES OF DENTISTS BP802
C,7,8040, OFFICES OF OTHER HEALTH PRACTITIONERS BP804
C,7,8041, CHIROPRACTORS BP8041
C,7,8042, OFFICES OF OPTOMETRISTS BP8042
C,7,8050, NURSING AND PERSONAL CARE FACILITIES BP805
C,7,8060, HOSPITALS BP806
C,7,8071, MEDICAL LABORATORIES BP807
C,7,8072, DENTAL LABORATORIES BP8072
C,7,8099, MEDICAL SERVICES BP809
C,7,8111, LEGAL SERVICES BP81
C,7,8200, EDUCATIONAL SERVICES BP82
C,7,8300, SOCIAL SERVICES BP83
C,7,8351, CHILD DAY CARE BP835
C,7,8600, MEMBERSHIP ORGANIZATIONS BP86
C,7,8888, UNABLE TO CLASSIFY BP99
C,7,8930," ACCOUNTING,AUDITING AND BOOKKEEPING BP872"
C,7,8980, MISC. SERVICES(INCLUDING VETERINARIANS) BP89
S,8,612, BAKERIES SELLING AT RETAIL BP205
S,8,3012," SELLING DOOR-TO-DOOR,BY PHONE/PARTY PLAN,MOBILE BP5963"
S,8,3038, CATALOG OR MAIL ORDER BP5961
S,8,3053, VENDING MACHINE SELLING BP5962
S,8,3079, EATING PLACES (MEALS OR SNACKS) RESTAURANTS BP5812
S,8,3095, DRINKING PLACES(ALCOHOLIC BEVERAGES) BP5813
S,8,3210, GROCERY STORES(GENERAL LINE) BP541
S,8,3236," FOOD STORES(MEAT,PRODUCE,CANDY,ETC) BP54"
S,8,3251, LIQUOR STORES BP592
S,8,3277, DRUG STORES BP591
S,8,3319, NEW CAR DEALERS BP551
S,8,3335, USED CAR DEALERS BP552
S,8,3517," AUTO DEALERS(MOTORCYCLES,RECREATION VECH.) BP55"
S,8,3533," TIRES,ACCESSORIES,AND PARTS BP553"
S,8,3558, GASOLINE SERVICE STATIONS BP554
S,8,3715, VARIETY STORES BP533
S,8,3731, GENERAL MERCHANDISE STORES BP539
S,8,3756, SHOE STORES BP566
S,8,3772, MEN'S AND BOYS' CLOTHING STORES BP561
S,8,3913," WOMEN'S READY-TO-WEAR STORES BP562S 08 3921 WOMEN'S ACCESSORY ,SPECIALTY STORES,FURRIERS BP563"
S,8,3939, FAMILY CLOTHING STORES BP565
S,8,3954, APPAREL AND ACCESSORY STORES BP569
S,8,3970, FURNITURE STORES BP571
S,8,3988, COMPUTER AND SOFTWARE STORES BP5734
S,8,3996," TV,AUDIO,AND ELECTRONICS BP5731"
S,8,4119, HOUSEHOLD APPLIANCE STORES BP572
S,8,4317," HOME FURNISHINGS STORES(CHINA,FLOOR COVER.) BP5719"
S,8,4333, MUSIC AND RECORD STORES BP573
S,8,4416, BUILDING MATERIALS DEALERS BP521
S,8,4432," PAINT,GLASS,AND WALLPAPER STORES BP523"
S,8,4457, HARDWARE STORES BP525
S,8,4473, NURSERIES AND GARDEN SUPPLY STORES BP526
S,8,4614," USED MERCHANDISE,ANTIQUE STORES(EXC.USED MOTOR) BP593"
S,8,4630," GIFT,NOVELTY,AND SOUVENIR SHOPS BP5947"
S,8,4655, FLORISTS BP5992
S,8,4671, JEWELRY STORES BP5944
S,8,4697, SPORTING GOODS AND BICYCLE SHOPS BP5941
S,8,4812, BOAT DEALERS BP555
S,8,4838," HOBBY,TOY,AND GAME SHOP BP5945"
S,8,4853, CAMERA AND PHOTO SUPPLY STORE BP5946
S,8,4879, OPTICAL GOODS STORE BP5995
S,8,4895, LUGGAGE AND LEATHER GOODS STORE BP5948
S,8,5017," BOOK STORES,EXCLUDING NEWSSTANDS BP5942"
S,8,5033, STATIONERY STORES BP5943
S,8,5058, FABIC AND NEEDLEWORK STORES BP5949
S,8,5074, MOBILE HOME DEALERS BP527
S,8,5090, FUEL DEALERS(EXCEPT GASOLINE) BP598
S,8,5884, RETAIL STORES BP5999
S,8,8888, UNABLE TO CLASSIFY BP99
P,8,3710, MOTOR VEHICLES AND EQUIPMENT BP371
P,8,5211," LUMBER,OTHER BUILDING MATERIALS DEALERS BP521"
P,8,5231," PAINT,GLASS,AND WALLPAPER STORES BP523"
P,8,5251, HARDWARE STORES BP525
P,8,5261, RETAIL NURSERIES AND GARDEN STORES BP526
P,8,5271, MOBILE HOME DEALERS BP527
P,8,5331, VARIETY STORES BP533
P,8,5398, OTHER GENERAL MERCHANDISE STORES BP539
P,8,5411, GROCERY STORES BP541
P,8,5420," MEAT,FISH MARKETS,FREEZER PROVISIONERS BP542"
P,8,5431, FRUIT STORES AND VEGETABLE MARKETS BP543
P,8,5441," CANDY,NUT AND CONFECTIONERY STORES BP544"
P,8,5451, DAIRY PRODUCT STORES BP545
P,8,5460, RETAIL BAKERIES BP546
P,8,5490, OTHER FOOD STORES BP549
P,8,5511, NEW CAR DEALERS (FRANCHISED) BP551P 08 5521 USED CAR DEALERS BP552
P,8,5531, AUTO AND HOME SUPPLY STORES BP553
P,8,5541, GASOLINE SERVICE STATIONS BP554
P,8,5551, BOAT DEALERS BP555
P,8,5561, RECREATIONAL VECHICLE DEALERS BP556
P,8,5571, MOTORCYCLE DEALERS BP557
P,8,5599, AIRCRAFT AND OTHER AUTOMOTIVE DEALERS BP559
P,8,5611, MEN'S AND BOYS' CLOTHING AND FURNISHINGS BP561
P,8,5621, WOMEN'S READY-TO-WEAR STORES BP562
P,8,5631, WOMEN'S ACCESSORY AND SPECIALTY STORES BP563
P,8,5641, CHILDREN'S AND INFANTS' WEAR STORES BP564
P,8,5651, FAMILY CLOTHING STORES BP565
P,8,5661, SHOE STORES BP566
P,8,5681, FURRIERS AND FUR SHOPS BP569
P,8,5699, APPAREL AND ACCESSORY STORES BP569
P,8,5712, FURNITURE STORES BP5712
P,8,5713, FLOOR COVERING STORES BP5713
P,8,5714," DRAPERY, CURTAIN, AND UPHOLSTERY STORES BP5714"
P,8,5719," HOME FURNISHINGS,EXCEPT APPLIANCES BP5719"
P,8,5722, HOUSEHOLD APPLIANCE STORES BP572
P,8,5732, RADIO AND TELEVISION STORES BP573
P,8,5733, MUSIC STORES BP5736
P,8,5734, COMPUTER AND SOFTWARE STORES BP5734
P,8,5812, EATING PLACES (RESTAURANTS) BP5812
P,8,5813, DRINKING PLACES BP5813
P,8,5912, DRUG STORES AND PROPRIETARY STORES BP591
P,8,5921, LIQUOR STORES BP592
P,8,5932," USED MERCHANDISE,ANTIQUE STORES(EXC.MOTOR PARTS) BP593"
P,8,5941, SPORTING GOODS STORES AND BICYCLE SHOPS BP5941
P,8,5942, BOOK STORES BP5942
P,8,5943, STATIONERY STORES BP5943
P,8,5944, JEWELRY STORES BP5944
P,8,5945," HOBBY,TOY,AND GAME SHOPS BP5945"
P,8,5946, CAMERA AND PHOTOGRAPHIC SUPPLY STORES BP5946
P,8,5947," GIFT,NOVELTY,AND SOUVENIR SHOPS BP5947"
P,8,5948, LUGGAGE AND LEATHER GOODS STORES BP5948
P,8,5949," SEWING, NEEDLEWORK AND PIECE GOODS STORE BP5949"
P,8,5961, MAIL ORDER HOUSE BP5961
P,8,5962, MERCHANDISING MACHINE OPERATORS BP5962
P,8,5963, DIRECT SELLING ORGANIZATIONS BP5963
P,8,5983, FUEL OIL DEALERS BP5983
P,8,5984, LIQUIFIED PETROLEUM GAS (BOTTLED) DEALER BP5984
P,8,5989, OTHER FUEL DEALERS (EXCEPT GASOLINE) BP5989
P,8,5992, FLORISTS BP5992
P,8,5996, OTHER MISC. RETAIL STORES BP5999
P,8,8888," UNABLE TO CLASSIFY BP99C 08 1430 DIMENSION,CRUSHED/BROKEN STONES,SAND AND GRAVEL BP14"
C,8,1498," NONMETALLIC MINERALS,EXCEPT FUELS BP14"
C,8,4400, WATER TRANSPORTATION BP9001
C,8,4500, TRANSPORTATION BY AIR BP45
C,8,4600," PIPE LINES,EXCEPT NATURAL GAS BP46"
C,8,4700, MISCELLANEOUS TRANSPORTATION SERVICES BP47
C,8,4830, RADIO AND TELEVISION BROADCASTING BP483
C,8,5220, BUILDING MATERIALS DEALERS BP52
C,8,5251, HARDWARE STORES BP525
C,8,5265, GARDEN SUPPLIES AND MOBILE HOME DEALERS BP52
C,8,5300, GENERAL MERCHANDISE STORES BP53
C,8,5410, GROCERY STORES BP541
C,8,5490, OTHER FOOD STORES BP54
C,8,5495, OTHER RETAIL STORES BP599
C,8,5515, MOTOR VEHICLE DEALERS BP55
C,8,5541, GASOLINE SERVICE STATIONS BP554
C,8,5598, AUTOMOTIVE DEALERS BP55
C,8,5600, APPAREL AND ACCESSORY STORES BP56
C,8,5700, FURNITURE AND HOME FURNISHINGS STORES BP57
C,8,5800, EATING AND DRINKING PLACES (RESTAURANTS) BP58
C,8,5912, DRUG STORES AND PROPRIETARY STORES BP591
C,8,5921, LIQUOR STORES BP592
C,8,5995, RETAIL STORES BP59
C,8,6030, MUTUAL SAVINGS BANK BP60
C,8,6060, BANK HOLDING COMPANIES BP6712
C,8,6090," BANKS, EXCEPT MUTUAL SAVINGS BANKS BP602"
C,8,6120, SAVINGS AND LOAN ASSOCIATIONS BP603
C,8,6140, PERSONAL CREDIT INSTITUTIONS BP614
C,8,6299, COMMODITY CONTRACT BROKERS AND DEALER SEC BP62
C,8,6355, LIFE INSURANCE BP631
C,8,6356, MUTUAL INSURANCE EXCEPT LIFE OR MARINE BP639
C,8,6359, OTHER INSURANCE COMPANIES BP639
C,8,7900, AMUSEMENT RECREATION SERVICE EXCEPT MOTION PICTUREBP7378
C,8,8888, UNABLE TO CLASSIFY BP99
S,9,6536, PUBLIC WAREHOUSING BP422
S,9,6650, TRANSPORTATION AND RELATED SERVICES BP47
S,9,8888, UNABLE TO CLASSIFY BP99
P,9,4220, PUBLIC WAREHOUSING BP422
P,9,8888, UNABLE TO CLASSIFY BP99
C,9,4200, TRUCKING AND WAREHOUSING BP42
C,9,8888, UNABLE TO CLASSIFY BP99
S,10,4824, ACCESS LINE TAX - TELECOMMUNICATION SVCS AL493
S,10,6676, COMMUNICATION SERVICES UT48
S,10,6692, UTILITIES UT49
S,10,8888, UNABLE TO CLASSIFY BP99
P,10,4800, COMMUNICATION UT48P 10 4822 ACCESS LINE TAX - TELECOMMUNICATION SVCS AL493
P,10,4900, UTILITIES UT49
P,10,8888, UNABLE TO CLASSIFY BP99
C,10,4000, RAILROAD TRANSPORTATION BP40
C,10,4820, ACCESS LINE TAX - TELECOMMUNICATION SVCS AL493
C,10,4825," TELEPHONE,TELEGRAPH,OTHER COMMUNICATION SERVICES UT48"
C,10,4910, ELECTRIC SERVICES UT491
C,10,4920, GAS PRODUCTION AND DISTRIBUTION UT492
C,10,4930, COMBINATION UTILITY SERVICES UT493
C,10,4990, WATER SUPPLY AND OTHER SANITARY SERVICES UT49
C,10,8888, UNABLE TO CLASSIFY BP99
S,11,6114, TAXICABS BP412
S,11,6312, BUS AND LIMOUSINE TRANSPORTATION BP414
S,11,6650, TRANSPORTATION AND RELATED SERVICES BP47
S,11,8888, UNABLE TO CLASSIFY BP99
P,11,4121, TAXICABS BP412
P,11,4189, PASSENGER TRANSPORTATION BP41
P,11,8888, UNABLE TO CLASSIFY BP99
C,11,4100, LOCAL AND INTERURBAN PASSENGER TRANSIT BP41
C,11,8888, UNABLE TO CLASSIFY BP99
S,12,6338, TRUCKING(EXCEPT TRASH COLLECTION) BP421
P,12,4210," TRUCKING(LOCAL/LONG DIST),EXC.TRASH COLLECTION BP421"
C,12,4200, TRUCKING AND WAREHOUSING BP42
S,13,638, FOOD PRODUCTS AND BEVERAGES BP20
S,13,653, TEXTILE MILL PRODUCTS BP22
S,13,679, APPAREL AND OTHER TEXTILE PRODUCTS BP23
S,13,695," LEATHER FOOTWEAR, HANDBAGS, ETC. BP31"
S,13,810, FURNITURE & FIXTURES BP25
S,13,836, LUMBER & OTHER FOOD PRODUCTS BP24
S,13,851, PRINTING AND PUBLISHING BP27
S,13,877, PAPER AND ALLIED PRODUCTS BP26
S,13,1032," STONE, CLAY & GLASS PRODUCTS BP32"
S,13,1057, PRIMARY METAL PRODUCTS BP33
S,13,1073, FABRICATED METAL BOXES BP34
S,13,1099, MACHINERY & MACHINE SHOPS BP35
S,13,1115, ELECTRIC AND ELECTRONIC EQUIPMENTS BP36
S,13,1883, OTHER MANUFACTURING INDUSTRIES BP39
S,13,2618, SELLING FOR YOUR OWN ACCOUNT BP50
S,13,2659, SELLING FOR YOUR OWN ACCOUNT BP51
S,13,8888, UNABLE TO CLASSIFY BP99
P,13,2000, FOOD PRODUCTS AND BEVERAGES BP20
P,13,2200, TEXTILE MILL PRODUCTS BP22
P,13,2300, APPAREL AND OTHER TEXTILE PRODUCTS BP23
P,13,2400, LUMBER & OTHER WOOD PRODUCTS BP24
P,13,2500, FURNITURE & FIXTURES BP25
P,13,2700, PRINTING AND PUBLISHING BP27P 13 2800 CHEMICAL AND ALLIED PRODUCTS BP28
P,13,3000, RUBBER AND PLASTICS PRODUCTS BP30
P,13,3100," LEATHER FOOTWEAR, HANDBAGS, ETC. BP31"
P,13,3200," STONE, CLAY & GLASS PRODUCTS BP32"
P,13,3300, PRIMARY METAL PRODUCTS BP33
P,13,3400, FABRICATED METAL BOXES BP34
P,13,3500, MACHINERY & MACHINE SHOPS BP35
P,13,3600, ELECTRICAL AND ELECTRONIC EQUIPMENTS BP36
P,13,3700, TRANSPORTATION AND EQUIPMENT BP37
P,13,3970, CHEMICAL AND ALLIED PRODUCTS BP39
P,13,4189, OTHER TRANSPORTATION SERVICES BP41
P,13,4216, TRASH COLLECTIONS W/O OWN DUMP BP4953
P,13,4722, PASSENGER TRANSPORTATION ARRANGEMENT BP473
P,13,4799, OTHER TRANSPORTATION SERVICES BP478
P,13,4900," UTILITIES, INCLUDING DUMPS, SNOWPLOWING BP49"
P,13,5001, SELLING FOR YOUR OWN ACCOUNT BP50
P,13,5102, AGENT/BROKER FOR OTHER FIRMS BP51
P,13,8888, UNABLE TO CLASSIFY BP99
C,13,2010, MEAT PRODUCTS BP201
C,13,2020, DAIRY PRODUCTS BP202
C,13,2030, PRESERVED FRUITS & VEGETABLES BP203
C,13,2040, GRAIN MILL PRODUCTS BP204
C,13,2050, BAKERY PRODUCTS BP205
C,13,2060, SUGAR AND CONFECTIONERY PRODUCTS BP206
C,13,2081, MALT LIQUORS AND MALT BP208
C,13,2088," ALCOHOLIC BEVERAGES, EXCEPT MALT LIQUOR BP208"
C,13,2089, BOTTLED SOFT DRINKS AND FLAVORINGS BP208
C,13,2100, TOBACCO MANUFACTURERS BP21
C,13,2228, WEAVING MILLS AND TEXTILE FINISHING BP22
C,13,2250, KNITTING MILLS BP225
C,13,2315, MEN'S AND BOY'S CLOTHING BP232
C,13,2345, WOMEN'S AND CHILDREN'S CLOTHING BP23
C,13,2388, APPAREL AND OTHER TEXTILE PRODUCTS BP23
C,13,2390, MISCELLANEOUS FABRICATED TEXTILE PRODUCTS BP239
C,13,2415," LOGGING, SAWMILLS, AND PLANNING MILLS BP23"
C,13,2430," MILLWORK, PLYWOOD AND RELATED PRODUCTS BP243"
C,13,2498, OTHER WOOD PRODUCTS BP249
C,13,2625," PULP, PAPER AND BOARD MILLS BP26"
C,13,2699, OTHER PAPER PRODUCTS BP267
C,13,2710, NEWSPAPERS BP2711
C,13,2720, PERIODICALS BP2721
C,13,2735," BOOKS, GREETING CARDS, AND MISC. PUBLISHING BP27"
C,13,2799, COMMERCIAL AND OTHER PRINTING BP275
C,13,2815," INDUSTRIAL CHEMICALS, PLASTIC, SYNTHETICS BP281"
C,13,2830, DRUGS BP283
C,13,2840," SOAP, CLEANERS AND TOILET GOODS BP284C 13 2850 PAINTS AND ALLIED PRODUCTS BP285"
C,13,2898, AGRICULTURAL AND OTHER CHEMICAL PRODUCTS BP287
C,13,2910, PETROLEUM REFINING (INCLUDING INTEGRATED) BP291
C,13,2998, OTHER PETROLEUM AND COAL PRODUCTS BP299
C,13,3050," RUBBER PRODUCTS, PLASTIC FOOTWEAR, HOSE & BELTING BP30"
C,13,3070, MISC. PLASTIC PRODUCTS BP308
C,13,3140, FOOTWEAR EXCEPT RUBBER BP314
C,13,3198, OTHER LEATHER AND LEATHER PRODUCTS BP31
C,13,3225, GLASS PRODUCTS BP32
C,13,3240, CEMENT HYDRAULIC BP324
C,13,3270," CONCRETE, GYPSUM & PLASTIC PRODUCTS BP327"
C,13,3298, OTHER NONMETALLIC MINERAL PRODUCTS BP329
C,13,3370," FERROUS METAL INDUSTRIES, MISC. PRIMARY PRODUCTS BP33"
C,13,3380, NONFERROUS METAL INDUSTRIES BP333
C,13,3410, METAL CANS AND SHIPPING CONTAINERS BP341
C,13,3428," CUTLERY, HAND TOOLS & HARWARE, SCREW MACHINE PROD BP342"
C,13,3430," PLUMBING AND HEATING, EXCEPT ELECTRIC & WARM AIR BP343"
C,13,3440, FABRICATED STRUCTURAL METAL PRODUCTS METAL FORGINGBP344
C,13,3470," COATING, ENGRAVING AND ALLIED SERVICES BP347"
C,13,3480," ORDINANCE & ACCESSORIES, EXCEPT VEHICLE & MISSILESBP348"
C,13,3490, MISC. FABRICATED METAL PRODUCTS BP349
C,13,3520, FARM MACHINERY BP352
C,13,3530, CONSTRUCTION AND RELATED MACHINERY BP353
C,13,3540, METALWORKING MACHINERY BP354
C,13,3550, SPECIAL INDUSTRY MACHINERY BP355
C,13,3570, OFFICE COMPUTING AND ACCOUNTING MACHINES BP357
C,13,3598, OTHER MACHINERY EXCEPT ELECTRICAL BP359
C,13,3630, HOUSEHOLD APPLIANCES BP363
C,13,3665," RADIO, TELEVISION AND COMMUNICATION EQUIPMENT BP365"
C,13,3670, ELECTRONIC COMPONENTS AND ACCESSORIES BP367
C,13,3698, OTHER ELECTRICAL EQUIPMENT BP369
C,13,3725," AIRCRAFT, GUIDED MISSILES AND PARTS BP37"
C,13,3730, SHIP AND BOAT BUILDING AND REPAIRING BP373
C,13,3798," OTHER TRANSPORTAION EQUIPMENT, EXCEPT MOTOR VEHICLBP379"
C,13,3815, SCIENTIFIC INSTRUMENTS AND MEASURING DEVICES BP382
C,13,3845," OPTICAL, MEDICAL AND OPTHALMIC GOODS BP38"
C,13,3860, PHOTOGRAPHIC EQUIPMENT AND SUPPLIES BP386
C,13,3998, OTHER MANUFACTURING PRODUCTS BP39
C,13,5008," MACHINERY,EQUIPMENT, AND SUPPLIES BP508"
C,13,5010, MOTOR VEHICLES AND AUTOMOTIVE EQUIPMENT BP501
C,13,5020, FURNITURE AND HOME FURNISHINGS BP502
C,13,5030, LUMBER AND CONSTRUCTION MATERIALS BP503
C,13,5040," SPORTING,RECREATIONAL,PHOTO,HOBBY GOODS,TOYS BP509"
C,13,5050," METAL,MINERALS,EXCEPT PETROLEUM AND SCRAP BP505"
C,13,5060, ELECTRICAL GOODS BP506
C,13,5070," HARDWARE,PLUMBING,HEATING EQUIPMENT & SUPPLIES BP507C 13 5098 DURABLE GOODS BP50"
C,13,5110, PAPER AND PAPER PRODUCTS BP511
C,13,5129," DRUGS,DRUG PROPRIETARIES,AND DRUGGISTS' SUNDRIES BP512"
C,13,5130," APPAREL,PIECE GOODS,AND NOTIONS BP513"
C,13,5140, GROCERIES AND RELATED PRODUCTS BP514
C,13,5150, FARM-PRODUCT RAW MATERIALS BP515
C,13,5160, CHEMICALS AND ALLIED PRODUCTS BP516
C,13,5170, PETROLEUM AND PETROLEUM PRODUCTS BP517
C,13,5180, ALCOHOLIC BEVERAGES BP518
C,13,5190, MISCELLANEOUS NONDURABLE GOODS BP519
C,13,8888, UNABLE TO CLASSIFY BP99
S,15,7674," ENGINEERING,SURVEYING, AND ARCHITECTUAL BP871"
S,15,7682, ARCHITECTURAL SERVICES BP871
P,15,8911, ENGINEERING AND ARCHITECTUAL SERVICES BP871
C,15,8911, ARCHITECTURAL AND ENGINEERING SERVICES BP871
S,16,8839, NON-PROFIT GARAGES - SOLE PROPRIETORSHIPS PK752
P,16,7520, NON-PROFIT GARAGES - PARTNERSHIPS PK752
C,16,7520, NON-PROFIT GARAGES - CORPORATIONS PK752
S,18,5884, FIREARMS AND AMMUNITION SALES BP50
P,18,5996, FIREARMS AND AMMUNITION SALES BP50
C,18,5996, FIREARMS AND AMMUNITION SALES BP50
